Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR7813302,2019-07-15 13:18:30,2018-09-10 10:22:44,42074,25244400,42074,600,12,,https://sra-download.ncbi.nlm.nih.gov/traces/sra70/SRR/007630/SRR7813302,SRX4664968,TLV_20_Week0,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760035,SAMN09992993,simple,408170,human gut metagenome,TLV_20_Week0,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,3CF07530F26A127192BD46E87A32D1F3,3BABA03A7D777E9B480174EFA4F8E4D6
SRR7813301,2019-07-15 13:18:30,2018-09-10 10:22:37,43138,25882800,43138,600,13,,https://sra-download.ncbi.nlm.nih.gov/traces/sra70/SRR/007630/SRR7813301,SRX4664969,TLV_19_Week8,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760036,SAMN09992992,simple,408170,human gut metagenome,TLV_19_Week8,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,370A731129E13CC3E950FF224832C50E,AC9B7B1A23DEEE1948BFFE0372AC7519
SRR7813300,2019-07-15 13:18:30,2018-09-10 10:22:10,1170,702000,1170,600,0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR7813300/SRR7813300.1,SRX4664970,WAR_1_Week8,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760037,SAMN09992999,simple,408170,human gut metagenome,WAR_1_Week8,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,4D5F920AA35F6FBD543CFDD032649859,33EC857C05467E68B6D0D7A1DE13BD99
SRR7813299,2019-07-15 13:18:30,2018-09-10 10:22:31,21363,12817800,21363,600,6,,https://sra-download.ncbi.nlm.nih.gov/traces/sra32/SRR/007630/SRR7813299,SRX4664971,WAR_1_Week4,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760038,SAMN09992998,simple,408170,human gut metagenome,WAR_1_Week4,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,F7B97692D8445C970C5BFAB533AE523D,31236F7B88B0BFB6B6A27816D376E8D8
SRR7813298,2019-07-15 13:18:30,2018-09-10 10:22:35,37586,22551600,37586,600,11,,https://sra-download.ncbi.nlm.nih.gov/traces/sra70/SRR/007630/SRR7813298,SRX4664972,WAR_1_Week0,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760039,SAMN09992997,simple,408170,human gut metagenome,WAR_1_Week0,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,10287F82540303CF965C69C2085CC20F,DEF68384262DE0D76B5FE9702E8D5C35
SRR7813295,2019-07-15 13:18:30,2018-09-10 10:22:29,31196,18717600,31196,600,9,,https://sra-download.ncbi.nlm.nih.gov/traces/sra51/SRR/007630/SRR7813295,SRX4664975,JER_6_Week0,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760040,SAMN09992836,simple,408170,human gut metagenome,JER_6_Week0,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,C299D1DD97B631BD55D7CB4BED24A56F,581ED4DA36CFE816A5AA1BE4DB06DC2E
SRR7813296,2019-07-15 13:18:30,2018-09-10 10:22:31,36703,22021800,36703,600,11,,https://sra-download.ncbi.nlm.nih.gov/traces/sra70/SRR/007630/SRR7813296,SRX4664974,JER_6_Week12,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760041,SAMN09992837,simple,408170,human gut metagenome,JER_6_Week12,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,ABCFE539C5E3973303D3BE66FA3D3E25,C40FEA3373E1D0F1A893C1CAAADB138F
SRR7813294,2019-07-15 13:18:30,2018-09-10 10:22:31,30406,18243600,30406,600,9,,https://sra-download.ncbi.nlm.nih.gov/traces/sra70/SRR/007630/SRR7813294,SRX4664976,JER_6_Week8,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760042,SAMN09992839,simple,408170,human gut metagenome,JER_6_Week8,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,61AAA2D0E4F9B03632844328456A2E43,D35179381AC27DE2AAD03B7458FECBEA
SRR7813293,2019-07-15 13:18:30,2018-09-10 10:22:29,40549,24329400,40549,600,12,,https://sra-download.ncbi.nlm.nih.gov/traces/sra51/SRR/007630/SRR7813293,SRX4664977,JER_6_Week4,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760043,SAMN09992838,simple,408170,human gut metagenome,JER_6_Week4,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,8A08E0172DA89FA5B0CDA28DB5D494E9,F5AEF37BE7B6903521509E947EEEA0DD
SRR7813292,2019-07-15 13:18:30,2018-09-10 10:22:27,34622,20773200,34622,600,10,,https://sra-download.ncbi.nlm.nih.gov/traces/sra32/SRR/007630/SRR7813292,SRX4664978,JER_4_Week4,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP160897,PRJNA489897,,489897,SRS3760044,SAMN09992833,simple,408170,human gut metagenome,JER_4_Week4,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA770420,,public,3B1D143D68EE7A3F173CEA4C614AB20A,F4A0CD08E380238807183C0BF0B7AA86
